ratio = 12.978917596906639, flow_size = 2.569231MB
ratio = 7.455050399096912, flow_size = 2.338256MB
ratio = 20.440400029413926, flow_size = 0.064376MB
ratio = 8.99050787146352, flow_size = 2.422868MB
ratio = 6.835971486366697, flow_size = 8.634785MB
ratio = 3.1704061226833624, flow_size = 20.098178MB
ratio = 11.196985394757359, flow_size = 3.392576MB
ratio = 13.328758239524552, flow_size = 1.182636MB
ratio = 11.473769874161706, flow_size = 3.859419MB
ratio = 7.667536147555357, flow_size = 5.887788MB
ratio = 4.179467656731999, flow_size = 1.421732MB
ratio = 4.849674829119384, flow_size = 9.967348MB
ratio = 7.805798751549206, flow_size = 8.303826MB
ratio = 2.217751582878651, flow_size = 1.12855MB
ratio = 2.0008549173579886, flow_size = 2.539009MB
ratio = 12.506807657295143, flow_size = 3.518447MB
ratio = 7.418763031395114, flow_size = 2.093128MB
ratio = 17.042959427207638, flow_size = 1.589592MB
ratio = 8.891443542445913, flow_size = 4.937348MB
ratio = 11.75418584662401, flow_size = 3.024499MB
ratio = 6.096360287111732, flow_size = 6.710233MB
ratio = 5.286522292993631, flow_size = 10.669726MB
ratio = 2.281843074308375, flow_size = 0.834637MB
ratio = 2.4700304517918874, flow_size = 1.002828MB
ratio = 3.483591310516643, flow_size = 14.897244MB
ratio = 17.038151208059674, flow_size = 1.555763MB
ratio = 7.61483074621283, flow_size = 0.02974MB
ratio = 3.11077229380397, flow_size = 20.762063MB
ratio = 2.2775510491281894, flow_size = 1.597277MB
ratio = 7.715802807572274, flow_size = 4.884366MB
ratio = 2.552006845911776, flow_size = 0.766344MB
ratio = 2.578105172479413, flow_size = 25.600134MB
ratio = 3.46936220282054, flow_size = 17.611521MB
ratio = 10.363767735155019, flow_size = 4.078608MB
ratio = 4.617227860811061, flow_size = 18.600528MB
ratio = 5.09208524971385, flow_size = 8.505731MB
ratio = 7.963874570920851, flow_size = 2.063462MB
ratio = 2.0540168587648373, flow_size = 0.713018MB
ratio = 12.386126601467714, flow_size = 4.74888MB
ratio = 10.74356333676622, flow_size = 3.309001MB
ratio = 11.588137971994103, flow_size = 3.27607MB
ratio = 2.4388609154458045, flow_size = 1.683528MB
ratio = 5.185529407268898, flow_size = 9.001877MB
ratio = 12.829584229576454, flow_size = 2.663658MB
ratio = 12.534046030232874, flow_size = 1.176531MB
ratio = 12.43110089210144, flow_size = 2.537418MB
ratio = 2.714958023537141, flow_size = 1.790321MB
ratio = 2.431084656084656, flow_size = 0.761935MB
ratio = 2.2093275873085743, flow_size = 1.582164MB
ratio = 12.80531961770471, flow_size = 3.042086MB
ratio = 5.413172266962881, flow_size = 9.227758MB
ratio = 5.211400392162174, flow_size = 7.876418MB
ratio = 9.840330092686244, flow_size = 4.796118MB
ratio = 7.704728177641654, flow_size = 2.145294MB
ratio = 8.161622862437873, flow_size = 1.083071MB
ratio = 10.062203245646696, flow_size = 4.290778MB
ratio = 5.804731283143042, flow_size = 7.312125MB
ratio = 3.322321940300732, flow_size = 26.31117MB
ratio = 4.012135081402427, flow_size = 14.636728MB
ratio = 19.04277076562618, flow_size = 1.528494MB
ratio = 4.918620738927153, flow_size = 8.631659MB
ratio = 2.787769116555308, flow_size = 0.207424MB
ratio = 9.693682321150318, flow_size = 4.183337MB
ratio = 2.0228981667144086, flow_size = 1.234632MB
ratio = 16.97699587706147, flow_size = 1.732421MB
ratio = 12.931654575892857, flow_size = 2.467041MB
ratio = 10.20512707945539, flow_size = 3.977508MB
ratio = 2.3854756826035173, flow_size = 5.169576MB
ratio = 2.2322429278060882, flow_size = 1.498479MB
ratio = 2.107989489792972, flow_size = 1.554511MB
ratio = 2.28126238777114, flow_size = 1.617226MB
ratio = 3.8795494084356257, flow_size = 17.103921MB
ratio = 17.660927419635463, flow_size = 1.664196MB
ratio = 2.615080758044665, flow_size = 27.289059MB
ratio = 11.151235577147663, flow_size = 6.030123MB
ratio = 2.3486488289851204, flow_size = 0.84413MB
ratio = 18.310278226944895, flow_size = 1.80918MB
ratio = 9.929724134182557, flow_size = 4.729991MB
ratio = 10.8910789197899, flow_size = 3.692155MB
ratio = 10.650253717415671, flow_size = 4.222482MB
ratio = 13.640150301835654, flow_size = 1.838485MB
ratio = 7.881152118538518, flow_size = 5.83964MB
ratio = 10.508814460773669, flow_size = 4.571287MB
ratio = 5.740378406261343, flow_size = 9.266877MB
ratio = 5.2762144853695645, flow_size = 13.386425MB
ratio = 2.690182952202353, flow_size = 28.069406MB
ratio = 8.327750172005198, flow_size = 4.631049MB
ratio = 16.948567680483666, flow_size = 1.623334MB
ratio = 15.687573333333333, flow_size = 1.963104MB
ratio = 12.561155390216108, flow_size = 3.345631MB
ratio = 9.258481277040131, flow_size = 5.498673MB
ratio = 2.5028667809019813, flow_size = 26.534047MB
ratio = 9.636643156612074, flow_size = 4.5223MB
ratio = 3.0615223938599048, flow_size = 0.932526MB
ratio = 16.094483668105035, flow_size = 1.279927MB
ratio = 17.269604229085946, flow_size = 1.471077MB
ratio = 8.963809596347875, flow_size = 4.913366MB
ratio = 7.715148967692801, flow_size = 5.634199MB
ratio = 6.066082865143057, flow_size = 7.79114MB
ratio = 9.123200356456728, flow_size = 4.072802MB
ratio = 6.021705780819957, flow_size = 6.78459MB
